ontology,class,algorithm,selection_type,auroc,auprc,time_sec
BP,GO:0016241,naive_bayes,PCA,0.5083,0.0013,6.927
BP,GO:0016246,naive_bayes,PCA,0.7587,0.0279,7.4
BP,GO:0016310,naive_bayes,PCA,0.8756,0.0935,7.104
BP,GO:0016311,naive_bayes,PCA,0.7457,0.0059,7.653
BP,GO:0016331,naive_bayes,PCA,0.7952,0.0823,6.625
BP,GO:0016441,naive_bayes,PCA,0.7331,0.0221,7.063
BP,GO:0016458,naive_bayes,PCA,0.7938,0.0318,6.483
BP,GO:0016477,naive_bayes,PCA,0.7624,0.0402,6.073
BP,GO:0016485,naive_bayes,PCA,0.649,0.0067,8.004
BP,GO:0016567,naive_bayes,PCA,0.8283,0.022,8.932
BP,GO:0016569,naive_bayes,PCA,0.9384,0.0385,8.74
BP,GO:0016570,naive_bayes,PCA,0.9384,0.0385,8.936
BP,GO:0016571,naive_bayes,PCA,0.9357,0.0277,8.785
BP,GO:0017015,naive_bayes,PCA,0.5521,0.0053,8.934
BP,GO:0017038,naive_bayes,PCA,0.4236,0.0083,8.767
BP,GO:0017144,naive_bayes,PCA,0.6463,0.0051,9.044
BP,GO:0017145,naive_bayes,PCA,0.7016,0.0039,9.116
BP,GO:0017148,naive_bayes,PCA,0.8354,0.1593,8.948
BP,GO:0017156,naive_bayes,PCA,0.7915,0.0052,9.277
BP,GO:0018022,naive_bayes,PCA,0.9752,0.0274,8.882
BP,GO:0018105,naive_bayes,PCA,0.8754,0.0805,8.884
BP,GO:0018107,naive_bayes,PCA,0.8324,0.0133,8.921
BP,GO:0018130,naive_bayes,PCA,0.7263,0.0376,9.037
BP,GO:0018193,naive_bayes,PCA,0.7844,0.0187,9.403
BP,GO:0018205,naive_bayes,PCA,0.9471,0.0172,9.01
BP,GO:0018209,naive_bayes,PCA,0.8754,0.0805,8.998
BP,GO:0018210,naive_bayes,PCA,0.7272,0.0259,8.819
BP,GO:0018991,naive_bayes,PCA,0.6056,0.0082,9.385
BP,GO:0018992,naive_bayes,PCA,0.8439,0.0452,9.415
BP,GO:0018996,naive_bayes,PCA,0.7207,0.041,8.023
BP,GO:0019098,naive_bayes,PCA,0.6419,0.0126,9.872
BP,GO:0019216,naive_bayes,PCA,0.52,0.0022,9.567
BP,GO:0019217,naive_bayes,PCA,0.6968,0.0058,9.288
BP,GO:0019219,naive_bayes,PCA,0.7884,0.0538,9.517
BP,GO:0019220,naive_bayes,PCA,0.7948,0.0401,9.218
BP,GO:0019222,naive_bayes,PCA,0.7418,0.0677,8.742
BP,GO:0019438,naive_bayes,PCA,0.722,0.0104,8.641
BP,GO:0019439,naive_bayes,PCA,0.7566,0.0088,9.252
BP,GO:0019538,naive_bayes,PCA,0.7682,0.0525,9.1
BP,GO:0019637,naive_bayes,PCA,0.68,0.0103,8.48
